semente,PETR4.SA,VALE3.SA,ITUB4.SA,BBDC4.SA,BBAS3.SA,ITSA4.SA,ABEV3.SA,WEGE3.SA,RENT3.SA,SUZB3.SA,GGBR4.SA,CSNA3.SA,CMIG4.SA,EQTL3.SA,RADL3.SA,LREN3.SA,B3SA3.SA,PRIO3.SA,HAPV3.SA,TOTS3.SA,RAIL3.SA,SBSP3.SA,VIVT3.SA,KLBN11.SA
1,0.1963006280743334,0.012057263575416529,0.013323672680490482,0.0,0.00047600824522585865,0.08174286890559106,0.00720565781134077,0.04813750038103586,0.0,0.040452167350275965,0.0,0.0,0.1045764532255979,0.0009155724747135638,0.0,0.0,0.0,0.09825282571872362,0.0,0.0,0.0,0.19447777495410878,0.19723233439156185,0.004849272211584385
2,0.19813835946961653,0.017617764603849263,0.004530313602081133,0.0,0.0,0.0843651856877253,0.005271183062904102,0.04696282411149461,0.0,0.031981484295410256,0.0,0.0,0.11658820823337669,0.00026493847789734316,0.0,0.0,0.0,0.0990162485871945,0.0,0.0,0.0,0.1978362238095867,0.19579813608677737,0.0016291299720861837
3,0.19973286244610786,0.0029683874336846206,0.021424879467448497,2.097713864085734e-06,2.097713864085734e-06,0.08693035934252345,0.001417024266642393,0.04353389539419458,2.097713864085734e-06,0.03034777882133836,2.097713864085734e-06,3.4551176233961786e-05,0.12179083478433471,0.0023439024279559174,3.4551176233961786e-05,2.097713864085734e-06,4.828517942961562e-18,0.09615914899240545,2.097713864085734e-06,2.097713864085734e-06,2.097713864085734e-06,0.1996092186357349,0.19365372621038474,2.097713864085734e-06
4,0.19977939861836985,0.03171917705542564,0.009787651486638895,0.0,0.003297894340302381,0.0752372247902838,0.0,0.05266029837477221,0.0,0.02570562223500548,0.0008799776154043006,0.0,0.11267513032739594,0.0040961003503183725,0.0,0.0,0.0,0.08676950051596397,0.0,0.0,0.0,0.1994035016494157,0.1979552969110033,3.322572970008744e-05
5,0.19885189183474294,0.03520794135951416,0.00936716997549441,0.0,0.0,0.07242492351134833,0.0,0.05321015501434686,0.0,0.017848893334893808,0.0,0.0,0.1265957307689296,0.0,0.0,0.0,0.0,0.09024219666799486,0.0,0.0,0.0,0.19870229121386604,0.19728419949454157,0.0002646068243275388
