semente,metodo,g,retorno,risco,sharpe,gap_relativo
1.0,DE,-2.0730587185849734,0.2516565296846439,0.16872256924884568,1.4915404074571703,0.003880321065269596
1.0,Random Search,-1.9804195171003298,0.283691425001459,0.1903989067752432,1.489984526730204,0.04839412610724214
2.0,DE,-2.077107335317128,0.2552164574081182,0.1703016304621457,1.4986142922738912,0.0019349314999819686
2.0,Random Search,-1.9710703988579823,0.2606549533746756,0.18000054998416617,1.4480786497463713,0.05288644491056422
3.0,DE,-2.0774766861045886,0.2582551766388088,0.17184457421001992,1.5028416103681117,0.001757455780398612
3.0,Random Search,-1.9428090259978832,0.25396251319040536,0.17851748303082796,1.4226198402458368,0.06646623857838295
4.0,DE,-2.0770796170640673,0.2539766226359865,0.16965972877568192,1.496976474433632,0.0019482503206656426
4.0,Random Search,-1.9229212645307223,0.25618564178571646,0.1808814426019477,1.4163179931591163,0.07602245152584884
5.0,DE,-2.077911480128407,0.25628881035693624,0.17080238459947852,1.5004990179611268,0.0015485341133343658
5.0,Random Search,-1.9314776978854544,0.24193696745943694,0.1732229498195037,1.3966796415344067,0.07191102353312902
,Ótimo exato (cvxpy),-2.081134187412041,0.25696714736114495,0.1709359942630627,1.5032945429017381,0.0
,1/N,-0.552260033830454,0.0780796572095358,0.1810706105853963,0.4312111002282834,0.7346350671807437
