algoritmo,retorno,risco,sharpe,score_esg,PETR4.SA,VALE3.SA,ITUB4.SA,BBDC4.SA,BBAS3.SA,ITSA4.SA,ABEV3.SA,WEGE3.SA,RENT3.SA,SUZB3.SA,GGBR4.SA,CSNA3.SA,CMIG4.SA,EQTL3.SA,RADL3.SA,LREN3.SA,B3SA3.SA,PRIO3.SA,HAPV3.SA,TOTS3.SA,RAIL3.SA,SBSP3.SA,VIVT3.SA,KLBN11.SA
NSGA2,0.1866924224796674,0.1903262614344574,0.9809073171121927,80.3062038530152,0.0,0.0,0.18858861433819996,0.07432148567863803,0.0,0.05978559892409175,0.0,0.13282729832901322,0.0,0.0,0.0,0.0,0.12111777325084183,0.0,0.0,0.0,0.0750816767158963,0.0,0.0,0.06008841085488848,0.0,0.1843062674888582,0.10388287441957228,0.0
NSGA2,0.25625039737476124,0.17567488920233773,1.458662638344509,63.43802224223509,0.17526128865595317,0.0,0.17242568216493817,0.0,0.0,0.0800404249853823,0.0,0.08166974688733158,0.0,0.0,0.0,0.0,0.08996392362740388,0.0,0.0,0.0,0.0015978687697340828,0.09595888832873935,0.0,0.0,0.0,0.1922894138561734,0.11079276272434418,0.0
NSGA2,0.15343254352325175,0.14558137479658378,1.0539297608477607,72.0360232185771,0.08792948193335737,0.029423326247696658,0.1243311933960768,0.0026685598549525966,0.013268367906781342,0.03909947562757532,0.07262208052560892,0.10496723970175792,0.0,0.10051972299949796,0.005208882412572841,0.0,0.0286645657047914,0.048531191414527226,0.0052633701827466415,0.0,0.0,0.006736480978582809,0.0,0.0,0.0,0.07449578219120039,0.12863779242645917,0.12763248649581466
NSGA2,0.24866542249754592,0.17324600147963584,1.435331380659745,65.16681141824827,0.1620230271873913,0.0,0.1677752817925934,0.0,0.0,0.07576054667939569,0.0,0.12408343155616325,0.0,0.0,0.003475514841847945,0.0,0.08358137366992383,0.0,0.0,0.0,0.0,0.08830698366157172,0.0,0.0,0.0,0.1845575946312462,0.10615923986771386,0.004277006112152837
NSGA2,0.2381758133834464,0.16575120503259308,1.4369477032556828,60.02824294905108,0.16871920640348162,0.032264132403285226,0.015787668794868284,0.0,0.010526999230236674,0.10703417382986749,0.047213886031824005,0.10344551918505585,0.0013227603972688791,0.0003402575327839249,0.0,0.00040781294356500685,0.08298904103204748,0.023634815498391623,0.0,0.0,0.0,0.07766142879214136,0.0,0.0,0.000397000428610534,0.18584907736653605,0.12690922410050542,0.015496996029530544
NSGA2,0.1890620128763567,0.18267417540088085,1.0349684757654314,79.53443729404991,0.0,0.0,0.16676117080714806,0.08596463031000807,0.0,0.08148837516220762,0.0,0.12541714512214047,0.0,0.03669744594503509,0.0,0.0,0.11940611500822228,0.002068122514049952,0.0,0.0,0.07216095422416666,0.007460759529414065,0.0,0.0,0.0,0.18661683941412377,0.10941390277066038,0.006544539192823713
NSGA2,0.19500363534273338,0.1865255095729778,1.0454529023357984,78.60203112939129,0.018217611749392685,0.0,0.1924846287011531,0.07201241869125227,0.00939050695370029,0.08592260441199105,0.0,0.12255647425741754,0.0034461929746240406,0.0,0.0,0.0,0.12322204127143097,0.0,0.0,0.0,0.07501561406822012,0.0,0.0,0.0069249977019761565,0.0,0.17942062482174456,0.09345840046379124,0.017927883933305928
NSGA2,0.22563524465526677,0.16346044108450064,1.3803660577339625,67.58292320859681,0.12885044608652815,0.0,0.1386922117383104,0.0,0.0,0.08687215535545974,0.0,0.11131841602829207,0.0,0.09481633615628852,0.0,0.0,0.061768490524159815,0.0,0.0009538649987035384,0.0,0.0,0.09033746151054556,0.0,0.0,0.0,0.1824502044735092,0.10394041312820292,0.0
NSGA2,0.11923563584331968,0.1517621580281571,0.7856743564571438,79.39204216189464,0.009484620663301635,0.00024603050234056986,0.16303037747307042,0.0428196944445833,0.002020207064365509,0.039666410017843795,0.07555435106244289,0.1327921204769189,0.00010446976070810578,0.12529340014058596,0.00869787604808975,0.00017501476618764098,0.03455531819560553,0.04129597634839775,0.013973114881539208,0.0006475621747238007,0.0019039633048280697,0.003465189350761269,0.0009874795852988598,0.009405301612408313,0.0023674171986588152,0.025158518288078684,0.13546803996040718,0.1308875466788541
NSGA2,0.1748318898438268,0.15371431383068432,1.1373819749564988,76.26666848399891,0.09496035931925026,0.0,0.16794192841117206,0.02608157655748084,0.0,0.023486165264385718,0.06153590400026635,0.11315917410880803,0.0,0.08566424408965093,0.0,0.0,0.029474631922483886,0.0,0.00882353059596333,0.0,0.0,0.0,0.0,0.004517081061762538,0.0,0.16080620928814163,0.10694079680610859,0.11660839857452586
NSGA2,0.2352887104951723,0.1639699777592581,1.4349499445601248,62.96434406768863,0.16797087113220413,0.00027220190299085024,0.014384043235567105,0.0,0.009856186209995812,0.10442415116424444,0.04646555076054652,0.12184987076279574,0.0,0.04846581229914423,0.0,0.0,0.08218175164960712,0.015815152502981936,0.0,0.0,0.0,0.07691309352086387,0.0,0.0,0.0,0.18524042602983018,0.12616088882922794,0.0
NSGA2,0.14431951172528065,0.16963282160180757,0.8507758720423407,83.63579411054116,0.009288171027791193,0.0,0.16442019434231264,0.09920538381812706,0.0,0.0,0.0,0.12337352221279833,0.0,0.08992130739035993,0.0,0.0,0.00029589575415233207,0.0,0.0,0.0,0.05742790312586605,0.0,0.0,0.05669690377411187,0.0,0.17890047238987067,0.10350479768413343,0.1169654484804765
NSGA2,0.1713188753576091,0.14847096633882448,1.153888060286774,68.72367687113044,0.14861804236568463,0.02599763747223069,0.12090550462061082,0.0008491444788993206,0.010856582770167666,0.035928490034395334,0.04710621059079366,0.09161357124804842,0.0008491444788993206,0.09707997256299265,0.0008491444788993206,0.0008491444788993206,0.07817863767534687,0.04563383133650871,0.0009548535763850068,0.0008491444788993206,0.0020862755976898285,0.0016477701794939557,0.0008491444788993206,0.0008491444788993206,0.0008491444788993206,0.06540926026880406,0.1058135518654888,0.1153766520041642
NSGA2,0.1945595879649965,0.18708829707583863,1.0399345710337473,78.9325594037152,0.006906417893937369,0.0008154000633266439,0.19486745951167767,0.07253498425294054,0.009880107430855862,0.08838419135387064,0.0008154000633266439,0.12353177659117466,0.0011870392463542326,0.0032148850684916566,0.000777085940793615,0.0008154000633266439,0.12399050943762832,0.0008154000633266439,0.0008154000633266439,0.0008154000633266439,0.06616639458790378,0.0008154000633266439,0.0007781666616609299,0.0077403977653028,0.0008154000633266439,0.18867041378792304,0.0940295815258088,0.010817388437062841
NSGA2,0.22124040954829616,0.16752141509898114,1.3206694166090633,71.10094758834413,0.161586951766909,0.0,0.1678745990112871,0.0,0.0,0.066173458011877,0.0,0.12577173834840116,0.0,0.0,0.0,0.0,0.07180006356280043,0.0,0.0,0.0,0.014683843228205774,0.0014056556767272123,0.004505291442229865,0.0015521160564149043,0.003552935158680351,0.1861765456622659,0.11297285107670736,0.08194395099749394
NSGA2,0.21517769206978138,0.1678172609178917,1.282214301990436,71.76272954709285,0.1495221627815697,0.0,0.16164069757788663,0.0,0.0,0.07626088765949399,0.0,0.11172609070898795,0.0,0.0,0.0,0.0,0.08701686056572268,0.004790147230932351,0.0,0.0,0.04305287474230654,0.0,0.0,0.0,0.0,0.16986930120513383,0.09232677325983547,0.10379420426813085
NSGA2,0.2520299766643428,0.174681628709496,1.4427961230169248,64.10117981005212,0.16201311336404348,0.0,0.16783443747066673,0.0,0.0,0.10971763793522205,0.0,0.07916263509328675,0.0,0.0,0.0034656010185001363,0.0,0.08988369017347765,9.122737819315131e-05,0.0,0.0,0.0,0.08829706983822391,0.0,0.0,0.0,0.189118169395215,0.10614932604436605,0.004267092288805029
NSGA2,0.23182223368477012,0.1649644424514778,1.4052860740153605,67.33337122435023,0.13738728089224955,0.009695865983639725,0.15005897231405935,0.0,0.0029508202769909985,0.07075383907861008,0.0021619579546744636,0.0918696704034602,0.0,0.055816196711229234,0.0027663252137065143,4.468936315841338e-05,0.10824003868959642,0.0005763979922635601,0.0,0.0,0.0,0.05387088418027393,0.0,0.0,0.0,0.18600407952600978,0.12035321273309131,0.007449768686986548
NSGA2,0.1858103013903529,0.1880498078317743,0.9880908868387421,80.21181530956247,0.0,0.0,0.18076476067703381,0.06827367147976271,0.0,0.059355220715135465,0.0,0.13035851482886868,0.0,0.010940272818516263,0.0,0.0,0.12068739504188555,0.0,0.0,0.0,0.07465129850694002,0.0,0.0,0.058658162451812296,0.0,0.18387588927990192,0.11243481420014316,0.0
NSGA2,0.21293999416836368,0.15744220746049406,1.352496243561596,61.828183399495586,0.1775391353319227,0.030709154103451354,0.014321122942330877,0.0,0.018335390009554264,0.04298896916283363,0.0622464151749035,0.08536312582387005,0.0,0.11794226383365829,0.0002841576737761088,0.0,0.005779976971424626,0.024104164923689667,0.006038172422630446,0.001258105005574113,0.005665095745189904,0.08220854106966524,0.0,0.0,0.0,0.1959385277263823,0.11446849233941274,0.014809189739730192
NSGA2,0.1503708704813519,0.15809860757623695,0.9511207770052076,81.37430727746911,0.005412791216251121,0.0010853721442073564,0.19091601214373158,0.04180748973381418,0.006314812761584214,0.028506428285726318,0.06397469805624124,0.13787955190204582,0.0010853721442073564,0.0925614860481762,0.0010853721442073564,0.0010853721442073564,0.02599297046059431,0.0010853721442073564,0.0010853721442073564,0.0010853721442073564,0.0010853721442073564,0.0010853721442073564,0.0010853721442073564,0.007531272668283028,0.0010853721442073564,0.15063231975166755,0.11420961050786928,0.12232146287773428
NSGA2,0.19561200731379425,0.1852252946660943,1.0560761027073764,78.5908751175588,0.0020178905533443188,0.0010822367972750904,0.1967550921494596,0.008606746906012321,0.013445815745900128,0.08154614821266347,0.0015589679741231613,0.13899703451389694,0.0,0.001674377983028297,0.002603983038255148,0.002496778710780922,0.08722240025197377,0.024445672590597448,0.012427768698438967,0.0031949133654227686,0.07848350966567648,0.004201854459492643,0.0010517398345571097,0.007623758821306333,0.0016259385822176744,0.1972736019234204,0.12683720406156662,0.004826565160590352
NSGA2,0.24515984919818748,0.17200156936605013,1.4253349553831305,64.76148603050959,0.1682222711900071,0.0,0.17246122840369574,0.0,0.010303108172412942,0.09852677584680676,0.0,0.06959634369104202,0.0,0.0,0.0,0.0,0.08119783021074213,0.01649191316264737,0.0,0.0,0.0,0.0714507499485174,0.0,0.0,0.0,0.17954827435513987,0.10515162819749714,0.02704987682149159
NSGA2,0.17845273748682156,0.14819023824542102,1.2042138510586788,67.95853138712127,0.13414567095735455,0.018207601874196528,0.1229599649832426,0.0,0.01130075119379617,0.03781383003038622,0.047067374311368926,0.08515154662598826,0.0,0.10030692842628652,0.0,0.0,0.06853987722404527,0.007680873719267018,0.0026219559567189393,0.0,0.0,0.04819801899365524,0.0,0.0,0.0,0.07301963451997845,0.12726656401362493,0.11571940717009051
