semente,retorno,risco,sharpe,score_esg,dominado_por_NSGA2,dominado_por_SPEA2
1,0.25760456782420293,0.17028993082771504,1.5127410444768192,58.96068498035126,False,False
2,0.25888871025559546,0.17104296826729487,1.5135887366677416,58.639415832306774,False,False
3,0.2577974396254459,0.17037728707980543,1.5130974559108485,59.590585744594506,False,False
4,0.25690311377887287,0.17000935149319346,1.511111662520272,59.570181991143386,False,False
5,0.2573195132508939,0.1702799826979975,1.5111553875787422,59.48562785794762,False,False
6,0.2571398189001237,0.1700379363767626,1.512249703680034,58.75432859352375,False,False
7,0.2580331057445965,0.17035946343813282,1.5146391080193964,59.52961005308458,False,False
8,0.2571847350848335,0.17018565102850278,1.5112010532648261,59.8384644445248,False,False
9,0.2591894408777723,0.1710816332245792,1.5150044805659166,59.6886929734938,False,False
10,0.25722245815581957,0.17008783961194435,1.5122918766131253,60.409350093627694,False,False
